ID	Source	SOURCE_coord	Dest	DEST_coord	count
152	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	2282
153	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	College Station-Bryan, TX Metro Area	 30.6253463,-96.3271538	4663
154	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	3021
155	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	16319
156	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Longview, TX Metro Area	 32.5007038,-94.7404891	2428
157	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	2805
158	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Lubbock, TX Metro Area	 33.5778631,-101.8551665	5206
159	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	2803
160	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Oklahoma City, OK Metro Area	 35.4729886,-97.5170536	5155
161	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	2042
162	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	7375
163	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	2314
164	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Sherman-Denison, TX Metro Area	 33.6360125,-96.6097889	2748
165	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Tulsa, OK Metro Area	 36.1556805,-95.9929113	2115
166	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Tyler, TX Metro Area	 32.3512601,-95.3010624	2987
167	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Waco, TX Metro Area	 31.549333,-97.1466695	3003
168	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	2180
169	Dayton, OH Metro Area	 39.7589478,-84.1916069	Cincinnati, OH-KY-IN Metro Area	 39.1014537,-84.5124602	6282
170	Dayton, OH Metro Area	 39.7589478,-84.1916069	Columbus, OH Metro Area	 39.9622601,-83.0007065	3568
171	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	 28.9005446,-81.2636738	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	4417
172	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Boulder, CO Metro Area	 40.102555,-105.3632079	8517
173	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Colorado Springs, CO Metro Area	 38.8339578,-104.8253485	7235
174	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	2202
175	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	5640
176	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Greeley, CO Metro Area	 38.4570355,-101.8185007	6795
